Регион,Кол-во рег. и муницип. структур по работе с молодежью,Финансирование структур по работе с молодежью,Кол-во рег. объединений,"Число членов рег. объединений, чел",Количество форумов за 2021,Численность,Члены рег. органов / Численность,Деньги / 1,Численность / Кол-во рег. объединений
Алтайский край,83.0,132717901,73.0,14820.0,28.0,2268179,0.006533875853713486,1599010.8554216868,31070.945205479453
Амурская область,35.0,93954479,84.0,4728.0,28.0,772525,0.006120190285104042,2684413.685714286,9196.72619047619
Архангельская область,33.0,582841229,53.0,7482.0,21.0,1114322,0.006714396736311407,17661855.424242426,21024.943396226416
Астраханская  область,41.0,139530429,111.0,42950.0,19.0,989430,0.0434088313473414,3403181.1951219514,8913.783783783783
Белгородская область,40.0,183594589,48.0,33529.0,13.0,1531917,0.02188695601654659,4589864.725,31914.9375
Брянская область,38.0,31807091,161.0,8405.0,8.0,1168771,0.007191314637341276,837028.7105263158,7259.447204968944
Владимирская область,32.0,190762871,110.0,1816.0,5.0,1323659,0.0013719545592935944,5961339.71875,12033.263636363636
Волгоградская область,168.0,620335753,37.0,54434.0,4.0,2449781,0.022219945374709005,3692474.720238095,66210.2972972973
Вологодская область,37.0,165656379,41.0,2739.0,9.0,1139499,0.0024036879365405325,4477199.432432433,27792.658536585364
Воронежская область,48.0,132013911,48.0,8206.0,20.0,2287678,0.0035870432814408323,2750289.8125,47659.958333333336
Еврейская автономная область,49.0,10776862,2.0,7238.0,17.0,153831,0.047051634586006724,219935.95918367346,76915.5
Забайкальский край,38.0,69070900,12.0,7067.0,4.0,1043467,0.0067726147544675585,1817655.2631578948,86955.58333333333
Ивановская область,47.0,142705796,21.0,20632.0,21.0,976918,0.021119479833517245,3036293.5319148935,46519.90476190476
Иркутская область,70.0,359339961,76.0,19031.0,47.0,2357134,0.008073787913627312,5133428.014285714,31014.92105263158
Кабардино-Балкарская Республика,28.0,20852314,11.0,19191.0,7.0,870487,0.022046279841054492,744725.5,79135.18181818182
Калининградская область,44.0,420808326,92.0,40154.0,13.0,1027678,0.03907254996214768,9563825.590909092,11170.41304347826
Калужская область,36.0,186663085,20.0,12719.0,17.0,1012844,0.012557708788322783,5185085.694444444,50642.2
Камчатский край,19.0,415699508,18.0,3792.0,6.0,312704,0.012126483831354892,21878921.47368421,17372.444444444445
Кемеровская область,59.0,479118335,38.0,4760.0,24.0,2604272,0.0018277660705179797,8120649.745762712,68533.47368421052
Кировская область,52.0,132291091,25.0,30677.0,20.0,1234780,0.024844101783313626,2544059.4423076925,49391.2
Костромская область,57.0,100937468,35.0,21435.0,25.0,620776,0.0345293632485792,1770832.7719298245,17736.457142857143
Краснодарский край,128.0,921092209,44.0,65668.0,66.0,5687378,0.011546269651850115,7196032.8828125,129258.59090909091
Красноярский край,127.0,2043337919,37.0,10344.0,110.0,2849169,0.0036305322709884883,16089274.952755906,77004.56756756757
Курганская область,54.0,210638124,19.0,19566.0,9.0,805510,0.024290201238966618,3900706.0,42395.26315789474
Курская область,39.0,242273076,73.0,66119.0,49.0,1083584,0.061018804264367135,6212130.153846154,14843.616438356165
Ленинградская область,165.0,505284293,44.0,1803.0,21.0,1911586,0.0009431958593544837,3062329.0484848483,43445.13636363636
Липецкая область,25.0,113310126,42.0,55161.0,16.0,1113680,0.049530385748150274,4532405.04,26516.190476190477
Магаданская область,15.0,231433684,15.0,1692.0,2.0,137767,0.012281605899816356,15428912.266666668,9184.466666666667
Москва,6.0,1194369386,1287.0,34407.0,0.0,12635466,0.0027230495495773562,199061564.33333334,9817.766899766899
Московская область,142.0,1333974254,17.0,2174.0,26.0,7768878,0.00027983448832637095,9394184.887323944,456992.82352941175
